Companyname;CVR;Telefonnumre
HIMMERLAND SALG & SERVICE A/S;13684774;
BOBS ApS;13689849;
DANISH TOOL PRODUCTIONS ApS;13694834;
BØRGE BECH;12083890;
C.P. UDLEJNING ApS;13710104;
Fjordhus v/Martin Bruggisser;13714401;
P.H. VÆRKTØJ ApS;13729441;
FINANS-SUPPORT ApS;13730237;
HG K A/S;13744289;
JENS H TANGE;12087489;
Læge Niels Holger Larsen;13792348;
Martin Olsen;13793433;
VIF OG HANS DISSINGS FOND;12147236;
GoCollective Rail A/S;12245904;
BOWL N FUN SILKEBORG ApS;12250975;
JØRGEN POPP PETERSEN;12336349;
BUTIKSKÆDEN NÆRKØB A/S;13878544;
Nanuna;12365497;
Samsø Grønt A/S;12370830;
IRMA OG JØRGEN RASMUSSENS FOND;12381085;
Kantinen BV4;12402570;
FONDEN HIMMERLAND;12447809;
Hotel Storløkke Feriepark;12458770;
BILCENTRET CHARLOTTENLUND A/S;12467486;
Hillerød Kvindekrisecenter Fond;12489404;
K/S VIKING 3. EJENDOMME;12497873;
AMAGER KRYDDERURTER ApS;12518587;
PETER KLOSTER;12551592;
FONDEN FOR HERNING ISSTADION;12555741;
Ry Lægehus;12557817;
TANDLÆGE LARS ELVERDAM;12568886;
K F SERVICECENTER ApS;12582331;
Cafe Finns Paraply S/I;12588372;
UTOFT DAMBRUG ApS;12593538;
Jeppe Mouritsen.;12614179;
Lægerne i Havnegade;12614683;
RBHG ApS;12622406;
ASX 14496 ApS;12630832;
Reeberg2023;12692803;
Tandlægeselskabet BK ApS;12699492;
GABRIEL A/S;12721307;
GÅRDEJER TORBEN GOLTERMANN HANSEN;12747241;
BL Støjisolering A/S;12843836;
LANDSFORENINGEN SINDSLIDENDES VEL;12885504;
TOP FOOD A/S;12894074;
COMWELL KLARSKOVGAARD A/S;14406689;
Dansk Miljø og Genbrug ApS;14407677;
LARS SJØMANN;14417494;
EXCELLENT PLAST ApS;14419470;
MARCUSSEN CONSULTING ApS;14419535;
ELMOPRINT ApS MASKINFABRIK;14445676;
SALEMSEN ApS;14453482;
CBS Investment ApS;12895534;
Ørbæklunde Gods v/ Landmand Lars-Hågen Lange;12902980;
JENS NYGAARD PEDERSEN;12905890;
MOGENS SØRENSEN;12913788;
VALUTA;14558780;
LPH Udlejning;14586148;
AKADEMIRÅDETS PRÆMIEFOND;12920075;
BENAIR A/S;12966377;
Søren Rasmussen;12975643;
Jane Sørensen;13166080;
STEEN MADSEN;13173370;
ROSBORG KRYDDERURTER A/S;13229848;
BIRI DRIVE-IN CENTER A/S;13234795;
CASINOS DENMARK A/S;13239398;
DAO AVIATION A/S;13239444;
LARS ERIC WEINÅS IDRÆTS-FOND;13244146;
BYSTED A/S;13273588;
Udlejningsvirksomheden Nørregade 20;13278474;
ANDELSSELSKABET KILDEKROG VANDVÆRK;13278911;
B.K. A/S;13322333;
KONSULENTKOMPAGNIET ApS;13335141;
BERG COIFFURE HADERSLEV ApS;13340293;
GIPCON ApS;13343306;
Tvis Trekantområdets Varmetransmissionsselskab I/S;13348545;
FAMILIECENTRET VIBYGÅRD FONDEN;13375844;
DK COMPANY CPH A/S;14815376;
HOME A/S;13394172;
ADVW 87 ApS;14820183;
BIRKUMGAARD ApS;14833684;
Fonden Til Støtte for Onkologisk Afdeling ved Sydvestjysk Sygehus;11942997;
FORTUNA 1 ApS;14909087;
Boligselskabet Sydfyn;14916296;
Skjoldenæsholm;14919694;
HILLERØD SPORTSRIDEKLUB;11954146;
MULTI-WING INTERNATIONAL A/S;11959598;
ALIMEX SEAFOOD A/S;11975488;
MERCER (DANMARK) A/S;11989748;
BOWLNFUN VIBORG ApS;11995403;
CALTEX IMPEX APS;12001371;
LØVENBORG GODS;13637385;
Grøndyssevej 3;13682909;
KAI ANDERSEN A/S. CIVILINGENIØRER OG ENTREPRENØRER;13702098;
SSP - Samrådet;13763445;
GÅRDEJER STEEN HANSEN;13795401;
EJERFORENINGEN;13806241;
ASTRUP CEMENTSTØBERI A/S;13835799;
CETUX A/S;13859841;
CONTAINER CENTRALEN A/S;13909709;
NALCO DANMARK ApS;13917035;
VINDMØLLEEJER JØRGEN RØHR JENSEN;13923507;
SRI SIGN SOLUTION A/S;13965579;
OK+ Bellahøj v/Per Juel;13970238;
Broager Vandværk AMBA;13996318;
MICHAEL JAKOBSEN;14016945;
HASSE DAN NILSSON VOGNMAND;14045600;
JOHANNES BIRCHS LEGAT FOR BORNHOLM;14050310;
Fonden Dronningens Ferieby i Grenaa;14095705;
GARANT UDLEJNING A/S;14130489;
NEXUS A/S;14158111;
Stender Strøget v/John Erik Skovbæk;14166432;
AGKNORDIC A/S;14196595;
ANPARTSSELSKABET DYREHAVEVEJ 19;14202579;
SJÆLLANDS LØFTEVOGNSCENTER V/TOMMY PETERSEN;14214194;
Hjælp til Hus & Have;14214488;
I/S Ushus;14219870;
SEJLING SMEDJE ApS;14233490;
Jensens Pancakes A/S;14236333;
SN KORNTEKNIK TOSTRUP ApS;14260471;
THE WHOLE COMPANY A/S;14303693;
CCL Specialty Cartons ApS;14336044;
MULTI MONTAGE STOHOLM A/S;14343571;
I/S MYRHØJGÅRD;14345175;
Ravning Skov v/Jørgen Jøker Trachel;14367187;
E. CHRISTENSEN OG SØN ApS;14373993;
ITW CONSTRUCTION PRODUCTS ApS;14395016;
SCAN-MED. A/S. DENMARK;14472800;
EH FORMUEFORVALTNING ApS;14473238;
Læge Marianne Stubbe Østergaard;14548130;
FONDEN SYDDANSKE FORSKERPARKER;14555277;
COOL AND GREEN ApS;14591834;
EXAKT/DANSK TOTAL DESIGN V/MORTEN JØRGENSEN;14633472;
Ahornvej 8 ApS;14646981;
STJERNEKIOSKEN ApS;14647236;
DESIGNIT DENMARK A/S;14650091;
GEORG HARMS FOND TIL MINDE OM DENFRANSKE MALER GEORGES BOUISSETS KUNSTNERISKE VÆRKER;14654542;
FH VVS-INSTALLATØRFORRETNING A/S;15405694;
PILEBO ApS;15451432;
IVAN NIELSENS FOND FOR PERSONER MED SPECIELLE SINDSLIDELSER;14697446;
ELISABETH OG GUNNAR SKIBSHOLT;14700404;
DANREVI;14710604;
NADIN COMPANY ApS;14725148;
Christianshavn Øl & Vinstue Jørgen Simonsen Lundgaard;14727302;
A/S PSE NR. 4117;14730338;
BREDMOSE MÆLK ApS;14732535;
AUDIO TECHNOLOGY ApS;14741070;
IMMOTECH ApS;14762140;
Søren Hedegaard;14789499;
Digelaget for Marsken ved Ribe;14805613;
Il Caffe v/Giuseppe Bombara;14812296;
Ejendomsinvest CPH 2020 ApS;14813748;
HANDELSSELSKABET AMERICA A/S;13399379;
EAGLEBURGMANN KE A/S;13436681;
CHALMER SPORT ApS;13443793;
SPECTRA SYSTEMS A/S;13451605;
Cosmo 87 ApS;13473447;
BFJ Udlejning v/Bjørn F Jørgensen;13482780;
Øreklinikken i Holstebro I/S;13586071;
GF TREKANTOMRÅDET F.M.B.A.;13586195;
GF NORD;13594791;
Fonden FABRIKKEN for Kunst og Design;15787171;
MA TAXI;13635609;
RATIONELL V/PREBEN JENSEN;13636303;
JOS A/S;14986731;
VG Auto Villy Grønne;14987878;
AKTIESELSKABET J.N. BECH;14988319;
H.P. Olsen & Søn Ejendomme;14991409;
EXP5 ApS;14991972;
PR Menu Stubbekøbing;15005874;
LOGO ART V/LARS HEDE JØRGENSEN;15006080;
Art-oriental/Scanparkering/Ptak-Jewels.dk;15027576;
ROLD TRÆLASTHANDEL A/S;15039930;
BRUNOS TRANSPORT A/S;15040785;
T & J Design I/S Torben Frisch/Jonna Frisch;15069937;
John Christensen;15072431;
L. T. FINANS AF 1992 A/S;15086181;
FIIRGÅRDEHJEMMET;15088494;
UNGDOMSPENSIONEN EGMONTGÅRDEN VIBY;15090103;
JØRN PETERSEN ApS;15090782;
JPS EJENDOMME A/S;15102977;
Grakom Arbejdsgivere;15108533;
DEN SELVEJENDE INSTITUTION FONDEN RYESGADE 7;15114304;
EJENDOMSSELSKABET SIRIUS ApS;15133171;
KONTORHUSET SVENDBORG A/S;15134399;
Protræ A/S;15140631;
TC BRØD ApS;15144505;
HECTO A/S;15147601;
HOLM & GRUT A/S;15149884;
MELSEN TECH A/S;15156198;
Tandlægerne Fyrvej I/S;15178043;
FHP FILIAL AF FREUDENBERG HOME AND CLEANING SOLUTIONS AB SVERIGE;15188286;
UJS BILER A/S;15206349;
MIDTJYDSK ELEKTRO A/S;15217847;
Fa. Leif Henriksen v/Henrik Henriksen;14819649;
MURER- & ENTREPRENØRFIRMA KIM SKOVGAARD HANSEN;14838503;
HALLERNE I FARSØ KOMMUNE;14938680;
DEN SELVEJENDE INSTITUTION HALD;14940073;
Business Danmarks Legater;14955135;
RAGNVALD OG IDA BLIX FOND;14955372;
NIELS JESPERSEN;14957103;
Ibens Kaffehus;14959173;
TRI-CONSULT A/S. RÅDGIVENDE INGENIØRER F.R.I.;14977139;
DEN HIELMSTIERNE-ROSENCRONESKE STIFTELSE;15927828;
Ingeniør N.M. Knudsens Fond;15931515;
LANDBRUG V/OLE LØVLUND BACH;15938889;
MIDDELALDERCENTRET FORSØGSCENTER FOR HISTORISK TEKNO-LOGI;15939133;
RUTH OG FINN TORJUSSENS FOND;15959533;
EGGER SCANDINAVIA ApS;16052183;
TAXIVOGNMAND MÜSLIM METIN;16458430;
NORDJYSK BLÆSER SERVICE ANPARTSSELSKAB;16069779;
INSTITUT FOR GRUPPEANALYSE KØBENHAVN;16098183;
AMAR MØBEL HAL ApS;16101508;
REVISIONSFIRMAET NIELS OLE ELLEGAARD ApS;15199989;
As Vandværk;15233117;
ØSTSJÆLLANDS ANDELSVASKERIS FOND;15246901;
VOGNMANDSFIRMAET HOLM & JENSEN A/S;15277505;
NamNams KusineSchoolforCooksNam Nam Is Kopi Tiam Foods;15286741;
SYGEHUSETS MINIMARKED/ HENRIK SCHEEL KALTOFT;15293144;
JD Udlejning;15295546;
TANDLÆGE LEIF T. RASMUSSEN ApS;15303840;
REBSDORF-SPEDITION A/S;15324805;
Ryegaard Land- og Skovbrug v/Johan Chr R Greve Scheel;15334800;
BLUE WATER STEVEDORING A/S;16672408;
MAGLEMOSEGÅRD A/S;15358378;
P. KILTING A/S;16708178;
KBH - TEGN & BYG V/KIM BACH-HANSEN;16721670;
EJENDOMSSELSKABET ALLEGADE 10 ApS;15380608;
LASSEN RICARD ADVOKATAKTIESELSKAB;16725641;
FDE A/S;15452986;
I/S HEFA VIII;15457171;
Danske Vandværker Region Midt;15485299;
Steffens Radio;15490888;
ISKEN ApS;15498773;
Roskilde Kebab & Grill House v/Fatih Erdogan;15500379;
TANDLÆGEKLINIK I/S;15510382;
KIRKENS KORSHÆR;15537728;
VOLSTEDGAARD A/S;15539402;
FAMILIEBO;15556145;
EJENDOMSSELSKABET VESTERKROGEN ApS. ESBJERG;16908908;
BORNHOLMS AMTS HUSFLIDSKREDS;15558792;
TERNDRUP FJERNVARME A M B A;15608943;
TANDLÆGERNE RØNNEBÆR ALLE 50 A ApS;16949434;
NORDI ApS;15610700;
Danske Lønsystemer ApS;15611472;
AUTO-G. DANSK GROSSISTUNION A/S;15672706;
LYNGBY PRODUKTHANDEL ApS;15688602;
VOGNMANDSFORRETNINGEN VIGGO NIELSEN ApS;15707291;
ELVERS-HANSEN MASKINFABRIK ApS;15707542;
DUESLAGET OPHOLDSSTED FOR BØRN OG UNGE;15722673;
CENTER PIZZA V/MEHMET KAYA;15728140;
EJENDOMSSELSKABET HØJVANGSHAVEN ApS. ESBJERG;15768991;
SCANPARTNERS INTERNATIONAL A/S;15890274;
Frisør Hos Peter ApS;15911743;
SILKEBORG PIZZARIA V/DEDE ZIYANAK;15914130;
MOHAMMED AHSAN;16394637;
DAN DECOR A/S;16398586;
Kreativ Fritid Korsør;17217879;
I/S Lægerne Rønnedevej;15960612;
Medarbejder Fond for VKR Gruppen;15983388;
CENTER AUTO V/KJELD IVERSEN;15986093;
AKADEMIET FOR DE TEKNISKE VIDENSKABER;16007870;
STT I/S;16013501;
Feriecentrets Restaurant v/Nora Clausen;16018244;
EJENDOMSSELSKABET AF 7.9. 1990 ApS;16022691;
SØREN FREDERIK D HANSEN;16044601;
BENTE VESTERGÅRD & OLE KRISTENSEN;16099937;
SKOLEBUTIK.DK ApS;16114073;
DET KGL DANSKE LANDHUSHOLDNINGSSELSKAB;16125628;
BACH BYG A/S;16127493;
Celik Ejendomme;16143480;
DIGELAGET FOR KONG CHRISTIAN DEN TIENDES KOG;16154113;
A/B PILEGRØFTEN;17421239;
NICHROM A/S;16165808;
EUROTANK A/S;16172782;
JOHANNES HOOGEVEEN;16195596;
LVG Group A/S;16208442;
KARUP KARTOFFELMELFABRIK A.M.B.A.;16217719;
LEIF JACOBSENS EFTF. ApS;16222380;
SØREN KIM LUND;16234400;
Gudenådalens Fysioterapi A M Thuesen og N Andersen;15230983;
ELLA OG MØLLER SØRIGS FOND - TIL STØTTE FOR MARGINALISEREDE PERSONER;15263504;
VEST INVEST ApS;15387270;
JOHANNES TOUSTRUP ApS;15503033;
ZüLAU A/S;16246204;
FORENINGEN AF PRAKTISERENDE SPECIALLÆGER;16262595;
DEN SELVEJENDE INSTITUTION BRUNSTOFTE;16263346;
Center for Selvmordsforskning;16266647;
CODAN MEDICAL ApS;16272078;
TANDTEKNIKER LARS BUNCH. THISTED ApS;16282189;
ANDERS NIELSEN;16295795;
I/S Børsting;16315702;
FONDEN/DEN SELVEJENDE INSTITUTION BOFÆLLESSKABERNE GRENNESSMINDE I TAASTRUP;16343943;
CARL OG ESTHER CHRISTIANSENS FOND;16362395;
DANSK SKALFORM A/S;17201875;
LANDMAND OG UDLEJER VERNER HANSEN;17235877;
HASHØJ KRAFTVARMEFORSYNING A M B A;16408530;
FULL HOUSE A/S;16444286;
Frisør Annette Maagensen;17253077;
BENT OLE JENSEN;17255207;
CP EL-TEKNIK ApS;17290002;
Peter Kofoed Høll;17302949;
Dullebay invest v/Mikael Jensen;17305190;
Dansk Miljø v/Lars Winther;17315870;
Frisør Hastrup & Co.;17325248;
Branceafdelingen Trafik Og Jernbane Banekredsen;17361074;
Fristaden Christiania;16488356;
HIMMERLANDSFONDEN (STØTTEFOND FOR HJEMMEVÆRNET I HIMMERLAND M.V.);16492914;
ICOPAL ENTREPRISE ApS;16509191;
AMT SERVICE;17361635;
Uhrenholt Ejendomme Torben Uhrenholt Poulsen;16521337;
Lægehuset i Bjergby v/Annette Engsig;17363697;
DET GREVELIGE DANNEMANDSKE STIFT;17384317;
SUBMARINE ADMINISTRATION ApS;17397648;
Lægerne Hallund og Lavigne I/S;17420232;
Keolis Letbaner A/S;18518090;
FREDENSBORG VANDRERHJEM FOND;18525844;
RealTruck Denmark ApS;18527030;
MAINSTREAM ApS;18538830;
Spisehuset v/Ngoc Huynh;18541246;
Poul Birkebæk Møller;18568284;
A J ANDERSEN OG HUSTRUS FOND;16522694;
TANDLÆGE OVE MØLLER KRISTIANSEN;18492601;
K K Consulting kiprianos kayyal;18595591;
SCANCOM INTERNATIONAL A/S;18479893;
Foreningen til opførelse af billige Boliger i Gentofte;16528617;
Susanne Linnet;16538396;
FRU INGEBORG A ALBINUS LARSENS MINDELEGAT TIL FORDEL FOR TRÆNGENDE OG ÆLDRE ENLIGE BLINDE;18606747;
Dyrlæge Susanne Schantz Laursen;16558605;
ROSAS EJENDOMME ApS;16587206;
LM Entreprenør;16590290;
FONDEN FOR HERNING VANDRERHJEM;16611301;
J.P. KLAUSEN & CO. A/S;16649201;
JOKER INVEST ApS;19254100;
Reese Grafisk;16657239;
Bettina Ifversen Udlejning;16706094;
TANDLÆGE KIRSTEN HANDBERG ApS;16723134;
BOGHOLDERIET AF 30. DECEMBER 1992 ApS;16745472;
HORSENS SEJLKLUB;18466244;
TERRARIET VISSENBJERG`S FOND;16766836;
SVENSKA SCM I DANMARK - FILIAL AF SCANDINAVIAN CONCESSIONS MANAGEMENT AB. SVERIGE;16766844;
LADEN;16782408;
JK Auto ApS;16833037;
NÜ A/S;16835048;
IKAST LASTVOGNSSERVICE ApS;16838993;
E.V. INVEST SÆDDING ApS;18627140;
Jan Elsvor;18278502;
DenClean;16853097;
Din Elektriker;16853992;
Tandlæge Jesper Alexandersen;16870331;
EJENDOMSSELSKABET MIDDELFART PARK A/S;16927406;
SELEK DANMARK ApS;18220571;
SCIENCErådet;18206277;
Raunstrup Byggeri A/S;16929409;
CONCORDIA FONDEN;16970034;
Tandlægerne Errboe og Seier I/S;16971499;
TØMRER- OG SNEDKERFORRETNING V/LARS TOFT;18463970;
KRISTIAN KORNELIUSSEN;18658097;
SOGNEFOGEDGÅRDEN ApS;16990507;
Hummels Gulvservice ApS;17013785;
TANDLÆGERNE BIRKETORVET ApS;17019430;
ELTRONIC A/S;17024280;
BORNHOLMS KUNSTMUSEUM;17025643;
Star VVS Entreprise A/S;17028235;
Papas Pizza Grill og Kylling V/ Kasim Arslan;17073982;
LANDMAND GLENN STREHLE;17081489;
NR FELDING VOGNMANDSFORRETNING I/S HENNING LAURITSEN HANS PETER LAURITSEN;17104276;
GÅRDEJER PEDER KROGSTRUP KRISTENSEN;17125141;
Egeberg Polering - Rengøring v/Finn Egeberg;17130536;
Friis Boliger ApS;18453401;
SCANAVO A/S;18718235;
S M H Invest ApS;18729180;
REVISIONSFIRMAET PEDER ALBERTSEN A/S. REGISTREREDE REVISORER;18743396;
DK Resi Propco Svend ApS;18777398;
UNDERSTØTTELSESFONDEN FOR VÆRDIGE TRÆNGENDE I HADERSLEV AF 24. FEBRUAR 1870;18789116;
Care Food/ Ivan Jensen;18803143;
Speciallæge Christine Felding;18826038;
DRONNINGBORG VANDVÆRK;18827018;
Ginas Hjemmeservice V/Gina Lisbygd;18834006;
